name,description,price,image,category
iPhone 15 #1,Latest iPhone model,999.0,https://example.com/iphone15_1.jpg,1
Samsung Galaxy S23 #2,Flagship Android phone,849.0,https://example.com/galaxy_2.jpg,1
LG OLED TV #3,55 inch 4K Smart TV,1299.99,https://example.com/oled_3.jpg,2
Sony Headphones #4,Noise cancelling over-ear headphones,299.0,https://example.com/sony_4.jpg,3
Apple Watch Series 9 #5,Smartwatch with health tracking,399.99,https://example.com/watch_5.jpg,1
iPhone 15 #6,Latest iPhone model,999.0,https://example.com/iphone15_6.jpg,1
Samsung Galaxy S23 #7,Flagship Android phone,849.0,https://example.com/galaxy_7.jpg,1
LG OLED TV #8,55 inch 4K Smart TV,1299.99,https://example.com/oled_8.jpg,2
Sony Headphones #9,Noise cancelling over-ear headphones,299.0,https://example.com/sony_9.jpg,3
Apple Watch Series 9 #10,Smartwatch with health tracking,399.99,https://example.com/watch_10.jpg,1
iPhone 15 #11,Latest iPhone model,999.0,https://example.com/iphone15_11.jpg,1
Samsung Galaxy S23 #12,Flagship Android phone,849.0,https://example.com/galaxy_12.jpg,1
LG OLED TV #13,55 inch 4K Smart TV,1299.99,https://example.com/oled_13.jpg,2
Sony Headphones #14,Noise cancelling over-ear headphones,299.0,https://example.com/sony_14.jpg,3
Apple Watch Series 9 #15,Smartwatch with health tracking,399.99,https://example.com/watch_15.jpg,1
iPhone 15 #16,Latest iPhone model,999.0,https://example.com/iphone15_16.jpg,1
Samsung Galaxy S23 #17,Flagship Android phone,849.0,https://example.com/galaxy_17.jpg,1
LG OLED TV #18,55 inch 4K Smart TV,1299.99,https://example.com/oled_18.jpg,2
Sony Headphones #19,Noise cancelling over-ear headphones,299.0,https://example.com/sony_19.jpg,3
Apple Watch Series 9 #20,Smartwatch with health tracking,399.99,https://example.com/watch_20.jpg,1
iPhone 15 #21,Latest iPhone model,999.0,https://example.com/iphone15_21.jpg,1
Samsung Galaxy S23 #22,Flagship Android phone,849.0,https://example.com/galaxy_22.jpg,1
LG OLED TV #23,55 inch 4K Smart TV,1299.99,https://example.com/oled_23.jpg,2
Sony Headphones #24,Noise cancelling over-ear headphones,299.0,https://example.com/sony_24.jpg,3
Apple Watch Series 9 #25,Smartwatch with health tracking,399.99,https://example.com/watch_25.jpg,1
iPhone 15 #26,Latest iPhone model,999.0,https://example.com/iphone15_26.jpg,1
Samsung Galaxy S23 #27,Flagship Android phone,849.0,https://example.com/galaxy_27.jpg,1
LG OLED TV #28,55 inch 4K Smart TV,1299.99,https://example.com/oled_28.jpg,2
Sony Headphones #29,Noise cancelling over-ear headphones,299.0,https://example.com/sony_29.jpg,3
Apple Watch Series 9 #30,Smartwatch with health tracking,399.99,https://example.com/watch_30.jpg,1
